Name,Owner,URL,Description
Sistema-de-gest-o-de-contas-banc-rias,IsaquePorto,https://github.com/IsaquePorto/Sistema-de-gest-o-de-contas-banc-rias,Meu projeto para o desafio técnico da Unifacisa referente a vaga de estágio para o LTI.
OuvidoriaFase3,MuriloAlvesGD,https://github.com/MuriloAlvesGD/OuvidoriaFase3,Projeto de ouvidoria destinado a Fase 3 do primeiro trimestre de S.I. UniFacisa
mobile-p2,felipe-unifacisa,https://github.com/felipe-unifacisa/mobile-p2,P2 da disciplina de desenvolvimento mobile do curso de sistemas de informação da UNIFACISA
BDII,felipemalheirosb,https://github.com/felipemalheirosb/BDII,Atividades da disciplina de Banco de Dados II - Sistemas de Informação - UNIFACISA
loja_front_2021_2,brunogamacatao,https://github.com/brunogamacatao/loja_front_2021_2,"Front de loja feito em react para a disciplina TAP da unifacisa, período 2021.2"
Ouvidoria_Java_Version1.0,andrebarroscg,https://github.com/andrebarroscg/Ouvidoria_Java_Version1.0,Primeira fase de entrega projeto Ouvidoria em Java - Sistemas de Informação - Unifacisa 
P2Exercicio2,BrunoLucas21,https://github.com/BrunoLucas21/P2Exercicio2,Repositório da primeira lista de exercícios da disciplina de programação 2 Unifacisa 2020.2
MindOverride,cyberdeckcipher,https://github.com/cyberdeckcipher/MindOverride,Projeto apresentado como TCC de Jogos Digitais pela UNIFACISA em 2017
Si2-Project,HanielbFerreira,https://github.com/HanielbFerreira/Si2-Project,Project for a discipline called Sistemas de Informação 2 on University UNIFACISA
TDD_romanNumeral,HanielbFerreira,https://github.com/HanielbFerreira/TDD_romanNumeral,Project for a discipline called Práticas de Programação on University UNIFACISA using TDD
tap20221_frontend,brunogamacatao,https://github.com/brunogamacatao/tap20221_frontend,Frontend feito com React para a disciplina TAP da Unifacisa - Semestre 2022.1
Ouvidoria_Java_Version2.0,andrebarroscg,https://github.com/andrebarroscg/Ouvidoria_Java_Version2.0,Segunda fase de entrega projeto Ouvidoria em Java - Sistemas de Informação - Unifacisa
project-crawler-web-python,thiagoalmeida00,https://github.com/thiagoalmeida00/project-crawler-web-python,Projeto acadêmico desenvolvido na disciplina de Programação I - CrawlerWeb/Web Scraping with Python - Professor orientador Jemerson Damasio - UNIFACISA
MusicPlayer-ProgramarWebFrontEnd,pedrohpdo,https://github.com/pedrohpdo/MusicPlayer-ProgramarWebFrontEnd,"Projeto criado como entrega final para a competência ""Programar Web Front-End"" da Unifacisa, em Campina Grande na Paraíba"
Projeto-Sistema-de-Ouvidoria-,micael1ma,https://github.com/micael1ma/Projeto-Sistema-de-Ouvidoria-,"Projeto da disciplina Phyton, do curso de Sistemas de Informação, da Instituição Unifacisa e professor Daniel Abella"
P2-Exercicio-da-segunda-nota,johnannysker,https://github.com/johnannysker/P2-Exercicio-da-segunda-nota,Repositório da primeira lista de exercício da segunda nota de P2 do curso de SI da Unifacisa
ngx-fscaffold-estudo-de-caso,joelsantosjunior,https://github.com/joelsantosjunior/ngx-fscaffold-estudo-de-caso,Estudo de caso da ferramenta criada durante o desenvolvimento do Trabalho de Conclusão de Curso de Sistemas de Informação na UNIFACISA
Facisa-P3,ElnatanELS,https://github.com/ElnatanELS/Facisa-P3,"Repositório das atividades da disciplina de Programação III, ministrada pelo o Professor Daniel Abella, do curso de Sistema de Informação na Unifacisa"
search_api,andrews-felipe,https://github.com/andrews-felipe/search_api,projeto em javascript puro que consome uma simples API - desenvolvido para a disciplina WWW do curso de Sistemas de Informação da Unifacisa.
arquitetura-software-microservicos,luan-alencar,https://github.com/luan-alencar/arquitetura-software-microservicos,Repositório referente a prova da disciplina de Arquitetura de Software do curso de Sistemas de Informação - UNIFACISA ministrada pelo professor Daniel Abella.
Desafio-Deep-Learning-CNN,maykends,https://github.com/maykends/Desafio-Deep-Learning-CNN,"Contexto As imagens neste conjunto de dados foram retiradas da pesquisa de imagens do Google.  Conteúdo Este conjunto de dados contém diferentes tipos de veículos voadores, ou seja: Drone, Helicóptero, Avião de Passageiros, Jato de Combate, etc. Pode-se usar este conjunto de dados para realizar a classificação de imagem multiclasse.  Reconhecimentos O conjunto de dados foi criado após aula do Sr. Doglas <https://github.com/DoglasProg>, nosso novo professor da pós-graduação em Ciência de Dados na Unifacisa Campina Grande - PB."
Juris-Facile-App,LeydsonTavares,https://github.com/LeydsonTavares/Juris-Facile-App,"Projeto de Extensão proposto com o intuito de, com base nos construtos necessários à formação da consciência jurídico-cidadã requisitada pelas mais variadas áreas profissionais, trazer conhecimentos específicos de Direito Aplicado a alunos de graduação, mormente àquelas ofertadas no ambiente da UNIFACISA, FCM e ESAC, com suporte na ciência da fundamental importância que os saberes jurídicos têm para todos, focando em conteúdos informativos além do curso de Direito, para que outros estudantes possam obter informações necessárias sobre os conceitos básicos de leis, normas, procedimentos etc. condizentes à prática profissional que vivificam na academia, com a criação de um aplicativo - app - para smartphone que venha a figurar como uma ferramenta tutorial de inserção/propagação de conteúdo, canal para geração de fóruns de debate e compartilhamento de informação jurídica específica para as mais diferentes áreas abarcadas nos cursos de nossas IES..  Situação: Em andamento; Natureza: Extensão.  Alunos envolvidos: Graduação: (8) .   Integrantes:  João Ademar de Andrade Lima - Coordenador  Daniel Abella Cavalcante Mendonça de Souza - Integrante  Émerson dos Santos Cantalice - Integrante  Thiago Barbosa Câmara - Integrante  Renata do Patrocínio Silva Alves - Integrante  Emanuel Rodrigues da Penha - Integrante  Fernanda Beatriz de Mendonça Pontes - Integrante  Emmanuell de Araújo Ramalho - Integrante  Leydson Ryan Silvia Tavares - Integrante."
